S,T,File Status,Character,Num,Text,Location,Function,Line,Speech Function,
,,N/A,<Player>,,I see nothing special about it.,GlobalScript.asc,unhandled_event,295,Say,
,,N/A,<Player>,,I can't do anything with it.,GlobalScript.asc,unhandled_event,299,Say,
,,N/A,<Player>,,That won't do anything.,GlobalScript.asc,unhandled_event,303,Say,
,,N/A,<Player>,,Meh. Looks okay.,GlobalScript.asc,unhandled_event,310,Say,
,,N/A,<Player>,,I don't want it.,GlobalScript.asc,unhandled_event,314,Say,
,,N/A,<Player>,,That's a funny idea.,GlobalScript.asc,unhandled_event,318,Say,
,,N/A,<Player>,,Hmm.,GlobalScript.asc,unhandled_event,325,Say,
,,N/A,<Player>,,Not in my Droid Protocol.,GlobalScript.asc,unhandled_event,329,Say,
,,N/A,<Player>,,I don't think I should give that away.,GlobalScript.asc,unhandled_event,333,Say,
,,N/A,<Player>,,It's just some junk in my inventory.,GlobalScript.asc,unhandled_event,340,Say,
,,N/A,<Player>,,"Er, no?",GlobalScript.asc,unhandled_event,344,Say,
,,N/A,<Player>,,That's ridiculous.,GlobalScript.asc,unhandled_event,348,Say,
,,N/A,cPlayer,,It's the box I need to deliver.,GlobalScript.asc,iBox_Look,407,Say,
,,N/A,cPlayer,,Every DoorBash Android is programmed to deliver at all costs.,GlobalScript.asc,iBox_Look,408,Say,
,,N/A,cPlayer,,Deliver Box B38736 to 40 Broad St. Room #53,GlobalScript.asc,iDelivery_Look,415,Say,
,,N/A,cPlayer,,It's a small gold key from the Warehouse.,GlobalScript.asc,iKey_Look,421,Say,
,,N/A,cPlayer,,It's a nurse? Maybe?,GlobalScript.asc,cNurse_Look,426,Say,
,,N/A,cPlayer,,I don't think she'd appreciate me introducing myself right now.,GlobalScript.asc,cNurse_Interact,431,Say,
,,N/A,cPlayer,,A pamphlet about the Hospital.,GlobalScript.asc,iPamphlet_Look,436,Say,
,,N/A,cPlayer,,A lot of boring stats and contact phone numbers.,GlobalScript.asc,iPamphlet_Look,437,Say,
,,N/A,cPlayer,,She looks very serious and a little scary.,GlobalScript.asc,cPatient_Look,442,Say,
,,N/A,cPatient,,I'm right here. I can hear you.,GlobalScript.asc,cPatient_Look,443,Say,
,,N/A,cPlayer,,Sorry.,GlobalScript.asc,cPatient_Look,444,Say,
,,N/A,cPatient,,"Don't be, just give me the package.",GlobalScript.asc,cPatient_Look,445,Say,
,,N/A,cPlayer,,Not in my protocol to touch clients.,GlobalScript.asc,cPatient_Interact,450,Say,
,,N/A,cPatient,,"Thank God for that. Also, who are you talking to?",GlobalScript.asc,cPatient_Interact,451,Say,
,,N/A,cPlayer,,I look like your typical Model 62B DroidDash Android.,GlobalScript.asc,cPlayer_Look,456,Say,
,,N/A,cPlayer,,Firmware up to date.,GlobalScript.asc,cPlayer_Interact,461,Say,
,,N/A,cPlayer,,Here is your package! Thank you for using DroidDash. Don't forget to review.,GlobalScript.asc,cPatient_UseInv,471,Say,
,,N/A,cPatient,,Finally!,GlobalScript.asc,cPatient_UseInv,472,Say,
,,N/A,cPatient,,Perfect. One extra-long nylon rope.,GlobalScript.asc,cPatient_UseInv,474,Say,
,,N/A,cPatient,,Now just a quick scramble out the window.,GlobalScript.asc,cPatient_UseInv,476,Say,
,,N/A,cPatient,,You'll get your 5 stars. Don't worry Droid. See ya!,GlobalScript.asc,cPatient_UseInv,477,Say,
,,N/A,cPlayer,,Another satisfied customer!,GlobalScript.asc,cPatient_UseInv,480,Say,
,,N/A,<Narrator>,,"Congrats, you Win!",GlobalScript.asc,cPatient_UseInv,482,Display,
,,N/A,<Narrator>,,Right-click to LOOK. Left-click to INTERACT.,room1.asc,room_AfterFadeIn,14,Display,
,,N/A,cPlayer,,DroidDash Android Alicia on-line.,room1.asc,room_AfterFadeIn,18,Say,
,,N/A,cPlayer,,Boot Complete.,room1.asc,room_AfterFadeIn,19,Say,
,,N/A,cPlayer,,Searching for Delivery Request...,room1.asc,room_AfterFadeIn,20,Say,
,,N/A,cPlayer,,Delivery details saved in Memory.,room1.asc,room_AfterFadeIn,24,Say,
,,N/A,<Narrator>,,Go to Top of Screen to access Inventory.,room1.asc,room_AfterFadeIn,25,Display,
,,N/A,cPlayer,,One big warehouse door.,room1.asc,hWarehouseDoor_Look,32,Say,
,,N/A,cPlayer,,It doesn't open that way.,room1.asc,hWarehouseDoor_Interact,38,Say,
,,N/A,cPlayer,,A door leading out of the warehouse.,room1.asc,hSmallDoor_Look,43,Say,
,,N/A,cPlayer,,It's a fire-put-it-out-er.,room1.asc,oFire_Look,51,Say,
